"id","name","gross_type","license","reference","images","technique","template","image_count"
"Gen1MCFODionne2018----VFBlicense_CC_BY_4_0----FBrf0236874","MCFO images of GMR-GAL4 lines from Dionne et al., 2018","Entity; Dataset; Individual; has_image","CC-BY_4.0","Dionne et al., 2018, Genetics 209(1): 31--35","https://www.virtualflybrain.org/data/VFB/i/0010/27hf/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","     155"
"FlyLight2019Wu2016----VFBlicense_CC_BY_4_0----FBrf0234700","split-GAL4 lines for LC VPNs (Wu2016)","Entity; Dataset; Individual; has_image","CC-BY_4.0","Wu et al., 2016, eLife 5: e21022","https://www.virtualflybrain.org/data/VFB/i/0010/3280/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      87"
"Robie2017----VFBlicense_CC_BY_4_0----FBrf0236042","split-GAL4 lines for  EB neurons (Robie2017)","Entity; Dataset; Individual; has_image","CC-BY_4.0","Robie et al., 2017, Cell 170(2): 393--406.e28","https://www.virtualflybrain.org/data/VFB/i/0006/9614/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      80"
"Morimoto2020----VFBlicense_CC_BY_4_0----FBrf0247630","EM FAFB Morimoto et al 2020","Entity; Dataset; Individual; has_image","CC-BY_4.0","Morimoto et al., 2020, eLife 9: e57685","https://www.virtualflybrain.org/data/VFB/i/0010/13v1/VFB_00101567/thumbnailT.png","TEM","JRC2018U
","      76"
"Hampel2015----VFBlicense_CC_BY_4_0----FBrf0229838","Grooming neurons and drivers (Hampel 2015)","Entity; Dataset; Individual; has_image","CC-BY_4.0","Hampel et al., 2015, eLife 4: e08758","https://www.virtualflybrain.org/data/VFB/i/0009/0002/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","       6"
"Shiu2022----VFBlicense_CC_BY_4_0----FBrf0254006","EM FAFB Shiu et al. 2022","Entity; Dataset; Individual; has_image","CC-BY_4.0","Shiu et al., 2022, eLife 11: e79887","https://www.virtualflybrain.org/data/VFB/i/0010/29mc/VFB_00101567/thumbnailT.png","TEM","JRC2018U
","      25"
"Wang2020c----VFBlicense_CC_BY_SA_4_0----FBrf0247919","EM FAFB Wang et al 2020c","Entity; Dataset; Individual; has_image","CC-BY-SA_4.0","Wang et al., 2021, Nature 589(7843): 577--581","https://www.virtualflybrain.org/data/VFB/i/0010/14nz/VFB_00101567/thumbnailT.png","TEM","JRC2018U
","      17"
"FlyLight2019LateralHorn2019----VFBlicense_CC_BY_4_0----FBrf0242477","FlyLight split-GAL4 lines for Lateral Horn","Entity; Dataset; Individual; has_image","CC-BY_4.0","Dolan et al., 2019, eLife 8: e43079","https://www.virtualflybrain.org/data/VFB/i/0010/2897/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","     364"
"Klapoetke2017----VFBlicense_CC_BY_4_0----FBrf0237184","Split-GAL4 lines from Klapoetke et al. 2017","Entity; Dataset; Individual; has_image","CC-BY_4.0","Klapoetke et al., 2017, Nature 551(7679): 237--241","https://www.virtualflybrain.org/data/VFB/i/0010/14pi/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      17"
"Baltruschat2021----VFBlicense_CC_BY_SA_4_0----FBrf0248487","EM FAFB Baltruschat et al 2021","Entity; Dataset; Individual; has_image","CC-BY-SA_4.0","Baltruschat et al., 2021, Cell Rep. 34(11): 108871","https://www.virtualflybrain.org/data/VFB/i/0010/14wk/VFB_00101567/thumbnailT.png","TEM","JRC2018U
","       8"
"FlyLight2019Wolff2018----VFBlicense_CC_BY_4_0----FBrf0240744","Splits targetting CX neurons, Wolff2018","Entity; Dataset; Individual; has_image","CC-BY_4.0","Wolff and Rubin, 2018, J. Comp. Neurol. 526(16): 2585--2611","https://www.virtualflybrain.org/data/VFB/i/0010/4196/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","     100"
"Gen1MCFOPfeiffer2010----VFBlicense_CC_BY_4_0----FBrf0212052","MCFO images of GMR-GAL4 lines from Pfeiffer et al., 2010","Entity; Dataset; Individual; has_image","CC-BY_4.0","Pfeiffer et al., 2010, Genetics 186(2): 735--755","https://www.virtualflybrain.org/data/VFB/i/0010/1rhz/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      10"
"Nojima2021----VFBlicense_CC_BY_SA_4_0----FBrf0248430","Split-GAL4 lines from Nojima et al., 2021","Entity; Dataset; Individual; has_image","CC-BY-SA_4.0","Nojima et al., 2021, Curr. Biol. 31(6): 1175--1191.e6","https://www.virtualflybrain.org/data/VFB/i/0010/14qc/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      15"
"Wang2020a----VFBlicense_CC_BY_4_0----FBrf0245074","EM FAFB Wang et al 2020a","Entity; Dataset; Individual; has_image","CC-BY_4.0","Wang et al., 2020, Nature 579(7797): 101--105","https://www.virtualflybrain.org/data/VFB/i/0010/13vn/VFB_00101567/thumbnailT.png","TEM","JRC2018U
","      12"
"Sayin2019----VFBlicense_CC_BY_SA_4_0----FBrf0243986","EM FAFB Sayin et al 2019","Entity; Dataset; Individual; has_image","CC-BY-SA_4.0","Sayin et al., 2019, Neuron 104(3): 544--558.e6","https://www.virtualflybrain.org/data/VFB/i/0010/01dr/VFB_00101567/thumbnailT.png","TEM","JRC2018U
","       2"
"SplitSchretter2020----VFBlicense_CC_BY_4_0----FBrf0247707","Split-GAL4 lines from Schretter et al., 2020","Entity; Dataset; Individual; has_image","CC-BY_4.0","Schretter et al., 2020, eLife 9: e58942","https://www.virtualflybrain.org/data/VFB/i/0010/15hq/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      26"
"Hampel2017----VFBlicense_CC_BY_SA_4_0----FBrf0236775","LexA driver targetting mechanosensory eye bristles (Hampel2017)","Entity; Dataset; Individual; has_image","CC-BY-SA_4.0","Hampel et al., 2017, eLife 6: e28804","https://www.virtualflybrain.org/data/VFB/i/0006/3688/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","       1"
"Felsenberg2018----VFBlicense_CC_BY_SA_4_0----FBrf0240371","EM FAFB Felsenberg et al. 2018","Entity; Dataset; Individual; has_image","CC-BY-SA_4.0","Felsenberg et al., 2018, Cell 175(3): 709--722.e15","https://www.virtualflybrain.org/data/VFB/i/0010/1382/VFB_00101567/thumbnailT.png","TEM","JRC2018U
","       3"
"McKellar2020----VFBlicense_CC_BY_SA_4_0----FBrf0246028","Split-GAL4 lines from McKellar et al., 2020","Entity; Dataset; Individual; has_image","CC-BY-SA_4.0","McKellar et al., 2020, eLife 9: e54978","https://www.virtualflybrain.org/data/VFB/i/0010/14q8/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      40"
"FlyLight2019Strother2017----VFBlicense_CC_BY_4_0----FBrf0235230","Splits targetting the visual motion pathway, Strother2017","Entity; Dataset; Individual; has_image","CC-BY_4.0","Strother et al., 2017, Neuron 94(1): 168--182.e10","https://www.virtualflybrain.org/data/VFB/i/0010/3941/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      63"
"FlyLight2019Namiki2018----VFBlicense_CC_BY_4_0----FBrf0239335","split-GAL4 lines for descending neurons (Namiki2018)","Entity; Dataset; Individual; has_image","CC-BY_4.0","Namiki et al., 2018, eLife 7: e34272","https://www.virtualflybrain.org/data/VFB/i/0010/3161/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","     247"
"SplitWang2020b----VFBlicense_CC_BY_4_0----FBrf0246914","Split-GAL4 lines from Wang et al., 2020b","Entity; Dataset; Individual; has_image","CC-BY_4.0","Wang et al., 2020, Curr. Biol. 30(19): 3749--3760.e3","https://www.virtualflybrain.org/data/VFB/i/0010/15h0/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","       4"
"AsoRubin2016----VFBlicense_CC_BY_4_0----FBrf0233230","split-GAL4 lines for dopaminergic neurons (AsoRubin2016)","Entity; Dataset; Individual; has_image","CC-BY_4.0","Aso and Rubin, 2016, eLife 5: e16135","https://www.virtualflybrain.org/data/VFB/i/0006/9630/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","      24"
"SplitGiraldo2018----VFBlicense_CC_BY_4_0----FBrf0240038","Split-GAL4 lines from Giraldo et al., 2018","Entity; Dataset; Individual; has_image","CC-BY_4.0","Giraldo et al., 2018, Curr. Biol. 28(17): 2845--2852.e4","https://www.virtualflybrain.org/data/VFB/i/0010/14pn/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","       2"
"Wang2020b----VFBlicense_CC_BY_4_0----FBrf0246914","EM FAFB Wang et al 2020b","Entity; Dataset; Individual; has_image","CC-BY_4.0","Wang et al., 2020, Curr. Biol. 30(19): 3749--3760.e3","https://www.virtualflybrain.org/data/VFB/i/0010/13zz/VFB_00101567/thumbnailT.png","TEM","JRC2018U
","       1"
"Lillvis2018----VFBlicense_CC_BY_SA_4_0----doi_10_1101_238147","Neurons involved in courtship and song (Lillvis2018)","Entity; Dataset; Individual; has_image","CC-BY-SA_4.0","Ding et al., 2017","https://www.virtualflybrain.org/data/VFB/i/0006/3689/VFB_00101567/thumbnailT.png","Confocal","JRC2018U
","       2"
